No,Grade,Reality,TribeID,TribeName,Name,AI,HP,Power,Magic,Physical,Speed,Luck,PhysicsRegist,FireRegist,IceRegist,ShockRegist,ImpactRegist,HamaRegist,CurseRegist,Skill1,Skill2,Skill3,Skill4,Skill4Rough,Skill4Protection,Skill4Unusual,Skill4Defense,Skill5Rough,Skill5Protection,Skill5Unusual,Skill5Defense
16,73,4,3,魔神,オーディン,0,87,22,20,17,16,15,1,1,2,5,0,2,2,氷結耐性,ショックウェーブ,グングニル,無慈悲な一撃,メガトンレイド,タルカジャ,千発千中,呪殺無効,イービルアイ,マハラギ,ブフーラ,ポズムディ
17,82,5,3,魔神,アマテラス,2,82,12,28,22,18,22,1,5,1,0,1,2,1,マハラギオン,タルンダ,天孫降臨,スクカオート,トリスアギオン,メディアラハン,三段の賢魔,衝撃無効,ジュオン,魅了無効,ラクカジャ,スクンダ
18,97,5,3,魔神,ヴィシュヌ,0,101,21,28,20,17,21,1,0,4,1,1,3,3,ブフダイン,天罰,アヴァターラ,ムドダイン,メギドラオン,常世の祈り,虚弱無効,呪殺反射,モータルジハード,魔封耐性,ウィンドブレス,ハマオン
19,33,2,4,神獣,シーサー,2,33,15,9,13,16,15,1,2,1,1,2,2,1,シバブー,ザン,ウィンドブレス,バインドクロ―,マハザン,バリアコワース,緊縛追撃,氷結耐性,,,,
20,41,3,4,神獣,マカミ,1,73,13,13,14,19,17,1,1,1,1,1,2,0,メパララディ,緊縛無効,ディアラマ,アムリタ,怪力乱神,サマリカーム,回復ブースタ,電撃無効,パララディ,マハザン,ディア,アギ
21,49,3,4,神獣,キマイラ,0,77,20,8,15,17,15,1,2,1,2,0,1,1,マカラコワース,ジオンガ,狂乱の剛爪,怪力乱神,マハジオンガ,雄叫び,猛反撃,衝撃耐性,パララディ,マハンマ,メディア,自然治癒
22,70,4,4,神獣,アヌビス,0,82,10,26,16,10,23,1,1,1,1,1,3,2,呪殺ブースタ,ムドダイン,審判の光,デクンダ,煉獄,テトラカーン,無慈悲な一撃,呪殺無効,吸魔,ポイズマ,ディア,アギラオ
23,84,5,4,神獣,バロン,2,96,22,15,19,24,23,2,1,1,3,0,3,0,マハジオンガ,ショックウェーブ,バロンダンス,食いしばり,真理の雷,リカームドラ,電撃ハイブースタ,呪殺無効,ブフダイン,マハシバブー,二段の恵体,マカジャマ
24,27,2,5,聖獣,ヘケト,1,68,14,14,13,15,12,1,1,1,2,0,1,1,メディア,マハジオ,メポズムディ,ジオンガ,放電,デクンダ,二分の活泉,火炎耐性,,,,
25,42,3,5,聖獣,ユニコーン,1,87,15,20,17,11,11,1,1,1,0,1,3,3,メチャームディ,魅了無効,マハザン,ブフダイン,絶対零度,メクロズディ,虐殺者,氷結耐性,アギ,初段の賢魔,カースディ,なぎ払い
26,44,3,5,聖獣,アピス,2,82,20,9,16,12,17,1,1,1,1,1,2,0,タルカジャ,マハンマ,マカラカシフト,メディラ,捨て身の一撃,ディスコード,三分の活泉,呪殺耐性,アギ,ポイズマオン,メディア,クロズディ
27,48,3,5,聖獣,ビャッコ,0,68,20,16,13,14,12,1,1,1,3,0,1,1,スクンダ,ジオンガ,電撃ブースタ,狂乱の剛爪,マハジオンガ,コンセントレイト,威圧の構え,物理耐性,乱れ狂い,マハブフ,精神漏出,毒床歩き
28,62,4,5,聖獣,スレイプニル,0,73,13,20,14,20,21,1,0,1,1,1,2,1,破魔ブースタ,マハンマオン,スピードスター,サマリカーム,ハマダイン,ディアラハン,三段の猛速,破魔無効,ファイアブレス,暴飲暴食,ツイスター,マハシバブオン
29,76,4,5,聖獣,スフィンクス,2,92,11,25,19,17,19,1,3,0,1,1,5,0,バリア,テトラカシフト,マハンマオン,モータルジハード,ジオダイン,メディアラハン,ラクカオート,氷結無効,ジュ,メガトンプレス,氷結耐性,イービルアイ
30,27,2,6,幻魔,クラマテング,0,63,11,14,12,17,14,1,1,1,0,3,1,1,スクカジャ,ハマ,マハザン,マハンマ,ザンマ,スクンダ,毒床渡り,火炎耐性,,,,
31,40,3,6,幻魔,タム・リン,0,73,21,10,14,14,16,1,1,1,1,1,2,0,自然治癒,ウィンドブレス,暗夜剣,ハマダイン,デスバウンド,メディラ,テトラカシフト,火炎耐性,マハザン,マハラギ,突撃,スラッシュ
32,49,3,6,幻魔,クルースニク,0,77,13,16,15,16,13,1,1,1,3,0,3,1,スクンダ,電撃無効,審判の光,勝利のチャクラ,五月雨斬り,リベリオン,無慈悲な一撃,呪殺無効,初段の恵体,マハムド,猛反撃,百発百中
33,60,4,6,幻魔,ハヌマーン,0,77,27,11,15,17,19,2,1,1,0,3,1,1,物理耐性,空間殺法,マハザンマ,狂乱の剛爪,ザンダイン,挑発,猛反撃,衝撃反射,初段の恵体,イービルアイ,審判の光,虚弱耐性
34,67,4,6,幻魔,ツクヨミ,2,82,16,26,16,9,18,0,3,3,2,2,1,1,一分の魔脈,ザンマ,月の加護,マハザン,ムドオン,リカーム,二分の活泉,火炎吸収,スクカジャ,自然治癒,ハマオン,ジオンガ
35,81,5,6,幻魔,クー・フーリン,0,101,27,25,20,16,14,2,1,1,1,3,1,1,ミナゴロシの愉悦,マハザンダイン,ゲイボルグ,リベリオン,殺風激,リカームドラ,衝撃貫通,呪殺反射,メギドラ,マカジャマ,デスバウンド,アイスエイジ
36,44,3,7,破壊神,アレス,0,63,23,11,12,14,16,1,1,1,1,1,2,0,金剛発破,反撃,地獄の業火,デクンダ,怪力乱神,チャージ,コロシの愉悦,物理耐性,地獄のマスク,セクシーダンス,シバブオン,暴れまくり
37,61,4,7,破壊神,セイテンタイセイ,0,73,28,11,14,16,20,2,2,1,0,2,2,0,物理ブースタ,挑発,鬼神楽,チャージ,ティタノマキア,アウトブレイク,三段の恵体,物理無効,裁きの雷火,ヘルズアイ,マハラギ,毒追撃
38,69,4,7,破壊神,ホクトセイクン,0,96,11,23,19,20,19,1,0,3,1,1,2,1,氷結ブースタ,ブフダイン,絶対零度,リカーム,マハブフダイン,バリア,呪い無効,氷結反射,破魔耐性,マハザン,ブフ,乱れ狂い
39,82,5,7,破壊神,スサノオ,0,92,31,15,19,18,20,2,0,1,1,4,1,1,暗殺者,モータルジハード,天叢雲剣,三段の剛力,殺風激,チャージ,無慈悲な一撃,電撃吸収,ディアラハン,地獄の業火,フォッグブレス,ハマダイン
40,93,5,7,破壊神,シヴァ,0,96,30,13,19,22,21,2,4,0,4,1,1,1,虐殺者,空間殺法,プララヤ,魅了無効,ゴッドハンド,リベリオン,寸分の見切り,氷結吸収,デゾレトオン,アイスブレス,ブフーラ,マハポイズマ
41,40,3,8,地母神,ペレ,1,110,9,20,22,10,14,1,2,0,1,1,1,1,メポズムディ,アギラオ,毒無効,ディアラ,マハラギオン,リカーム,二段の強運,物理耐性,メウィークディ,マハザン,毒床歩き,初段の賢魔
42,47,3,8,地母神,クシナダヒメ,1,77,8,20,15,17,15,1,1,1,1,1,2,0,ディアラ,回復ブースタ,マハンマ,メディア,ハマオン,リディア,自然治癒,破魔無効,ムド,マハラギ,メパララディ,ジオ
43,54,3,8,地母神,イシス,2,82,12,17,16,19,17,1,2,1,3,1,1,1,サマリカーム,ザンダイン,マハマカジャマ,二分の魔脈,マハザン,メウィークディ,追い打ち,衝撃無効,初段の剛力,百発百中,メチャームディ,ザン
44,60,4,8,地母神,キクリヒメ,1,92,11,24,18,17,18,1,1,1,0,3,1,0,リディア,マハラギオン,マリンカリオン,二段の恵体,アギダイン,ディアラマ,テトラカシフト,呪殺耐性,火炎耐性,マハポイズマオン,捨て身の一撃,ラクカジャ
45,67,4,8,地母神,スカディ,2,92,11,25,18,17,20,1,0,4,1,1,1,1,マハマカジャマ,魔封追撃,マハムドオン,二段の強運,絶対零度,マカラコワース,狂い咲き,火炎耐性,放電,二段の剛力,メディラ,電撃耐性
46,83,5,8,地母神,アシェラト,1,134,16,25,27,16,19,1,3,0,1,3,1,0,メディラマ,サマリカーム,マハラギオン,混沌の海,トリスアギオン,静寂の祈り,回復ハイブースタ,氷結反射,審判の光,地獄のマスク,二段の強運,緊縛追撃
47,27,2,9,鬼神,タケミナカタ,0,87,18,7,17,12,13,1,0,1,2,1,1,1,反撃,ジオンガ,鬼神楽,電撃ブースタ,放電,メパララディ,一分の魔脈,呪殺耐性,,,,
48,41,3,9,鬼神,ゾウチョウテン,0,68,17,21,13,12,13,1,3,0,1,1,2,1,ラクカジャ,金剛発破,アギラオ,チャージ,ファイアブレス,挑発,毒床無効,呪殺耐性,地獄のマスク,初段の剛力,メチャームディ,メチャームディ
49,50,3,9,鬼神,コウモクテン,0,77,23,14,15,13,15,1,1,1,3,0,2,1,ジオンガ,テトラコワース,冥界破,メガトンプレス,ジオダイン,スクカジャ,反撃,物理耐性,初段の強運,マハブフ,コロシの愉悦,ブフ
50,62,4,9,鬼神,ジコクテン,0,92,22,14,18,18,16,1,1,1,0,3,2,1,マハザンマ,冥界破,食いしばり,ザンダイン,メガトンレイド,マハシバブオン,三分の活泉,火炎無効,バインドクロー,メディアラハン,ホワイトノイズ,吸血
51,70,4,9,鬼神,ビシャモンテン,0,106,25,11,21,15,17,1,0,3,1,1,2,1,破魔耐性,ブフダイン,怪力乱神,ディスコード,冥界破,ディスコード,追い打ち,呪殺耐性,エナジードレイン,マカジャマオン,メチャームディ,衝撃耐性
52,75,4,9,鬼神,ショウキ,0,73,30,12,14,14,23,1,2,1,1,0,2,1,地獄のマスク,タルカオート,鬼神楽,魔封無効,メガトンレイド,デゾレトオン,威圧の構え,物理耐性,マハムドダイン,毒床渡り,魔封追撃,マハンマオン
53,83,5,9,鬼神,トール,0,115,27,20,23,19,12,2,3,1,4,0,2,1,メガトンレイド,チャージ,ミョルニル,マハジオダイン,ギガントマキア,リベリオン,電撃貫通,火炎反射,マハンマダイン,マハマリンカリオン,イービルアイ,マハマリンカリン
54,20,2,10,天使,エンジェル,1,77,8,18,15,12,13,1,1,1,1,1,3,0,ハマ,マハンマ,ディアラ,ラクカジャ,審判の光,チャームディ,魔封無効,電撃耐性,,,,
55,25,2,10,天使,アークエンジェル,0,73,16,14,14,10,13,1,1,1,1,1,3,0,タルカジャ,アギ,ハマ,ヒートウェイブ,アギラオ,リディアコワース,百発百中,物理耐性,,,,
56,35,2,10,天使,プリンシパリティ,1,73,9,19,14,11,15,1,1,1,1,1,3,0,リカーム,ハマオン,ブフ,メディア,審判の光,カースディ,破魔ブースタ,呪殺耐性,,,,
57,40,3,10,天使,パワー,0,96,19,15,19,9,13,1,1,1,2,0,3,0,メディア,メギド,絶命剣,ディアラ,マハジオンガ,リベリオン,暗殺者,衝撃耐性,メパララディ,ムド,初段の賢魔,自然治癒
58,47,3,10,天使,ヴァーチャー,1,96,7,19,19,14,17,1,1,1,0,3,3,0,メクロズディ,魔封無効,ハマオン,バリア,審判の光,コンセントレイト,スクカオート,氷結無効,マハジオ,アギ,初段の強運,初段の猛速
59,53,3,10,天使,ドミニオン,1,87,9,21,17,15,18,1,1,1,2,0,3,0,メカースディ,呪い無効,マハジオンガ,メギド,ジオダイン,常世の祈り,魔封無効,電撃無効,メチャームディ,スラッシュ,初段の恵体,ブフ
60,60,4,10,天使,ソロネ,0,92,15,18,18,20,18,1,3,0,2,1,3,0,電撃耐性,マハラギオン,タークゾーン無効,メディラ,マハンマオン,ディアラハン,寸分の見切り,氷結無効,雄叫び,氷結耐性,デスタッチ,野生の勘
61,5,1,11,妖魔,アガシオン,0,82,7,13,16,9,12,1,2,0,2,1,1,0,カースディ,ジオ,,マハジオ,ヒートウェイブ,クロズディ,初段の強運,呪殺耐性,,,,
62,7,1,11,妖魔,コッパテング,0,40,13,11,7,14,13,1,1,1,0,2,1,1,毒床歩き,ザン,,ウィンドブレス,ザンマ,タルンダ,野生の勘,火炎耐性,,,,
63,11,1,11,妖魔,アプサラス,1,68,8,15,13,10,13,1,0,2,1,1,1,1,ポズムディ,ブフ,,ディアラ,ブフーラ,メチャームディ,初段の猛速,電撃耐性,,,,
64,34,2,11,妖魔,ディース,1,77,7,18,15,13,15,1,1,2,2,1,1,0,マカジャマ,アギラオ,ザン,メディラ,メギド,バリアコワース,魔封追撃,衝撃耐性,,,,
65,40,3,11,妖魔,ヴァルキリー,0,87,21,9,17,13,16,2,1,1,0,2,1,1,マハンマ,絶命剣,物理ブースタ,ヒートウェイブ,デスバウンド,テトラコワース,三分の活泉,電撃耐性,メウィークディ,スラッシュ,クロズディ,ウィークディ
66,52,3,11,妖魔,イフリート,0,63,16,23,12,15,14,1,4,0,1,1,1,1,アギラオ,火炎ブースタ,マハラギ,アギダイン,地獄の業火,メクロズディ,追い打ち,電撃耐性,なぎ払い,ヒートウェイブ,ザン,アウトブレイク
67,66,4,11,妖魔,ガネーシャ,0,66,22,16,22,12,17,2,1,1,0,3,1,0,怪力乱神,チャージ,ラクカジャ,捨て身の一撃,メガトンレイド,挑発,物理ブースタ,呪殺無効,メポズムディ,マハザンダイン,天罰,デゾレト
68,15,1,12,龍王,ノズチ,0,63,12,11,12,12,13,2,0,2,2,0,1,0,一分の活泉,マハジオ,,暴れまくり,ジオンガ,カースディ,百発百中,火炎耐性,,,,
69,28,2,12,龍王,ナーガ,0,96,16,7,19,11,13,1,0,2,2,0,1,0,絶命剣,ブフーラ,百発百中,リベリオン,デスバウンド,デゾレト,二分の活泉,氷結無効,,,,
70,45,3,12,龍王,ゲンブ,0,87,17,20,17,9,12,1,0,3,1,1,1,1,ブフーラ,マハブフーラ,氷結ブースタ,ラクカジャ,ブフダイン,マカラコワース,勝利の息吹,物理耐性,毒床歩き,初段の剛力,スラッシュ,乱れ狂い
71,61,4,12,龍王,ヤマタノオロチ,0,96,24,11,19,17,19,1,3,3,0,1,1,1,ブフダイン,メガトンプレス,毒床無効,バリア,アギダイン,リカームドラ,タルカオート,破魔無効,毒床歩き,デカジャ,吸魔,ミナゴロシの愉悦
72,70,4,12,龍王,ユルング,2,124,16,13,25,20,17,1,0,3,2,1,1,0,マハシバブー,サマリカーム,マハブフーラ,三段の強運,ブフダイン,ディアラマ,毒無効,火炎耐性,溶解ブレス,リカームドラ,毒追撃,マハンマ
73,83,5,12,龍王,アナンタ,2,115,16,23,23,21,19,1,1,3,3,0,3,1,ディアラハン,スクカオート,ラクカオート,天罰,マハブフダイン,マハポイズマオン,タルカオート,氷結吸収,ギガントマキア,マハザンダイン,モータルジハード,鬼神楽
74,3,1,13,魔獣,カーシー,2,54,14,10,10,13,10,1,1,1,1,1,3,1,スラッシュ,アギ,,アムリタ,甘噛み,タルカジャ,一分の活泉,火炎耐性,,,,
75,9,1,13,魔獣,イヌガミ,2,68,10,9,13,13,13,1,2,0,1,1,1,1,アギ,パララディ,,マハラギ,アギラオ,ラクンダ,緊縛耐性,呪殺耐性,,,,
76,14,1,13,魔獣,ネコマタ,2,63,10,9,12,15,13,1,2,0,0,2,1,1,チャームディ,マハザン,,スクカジャ,ザンマ,アムリタ,魅了耐性,氷結耐性,,,,
77,35,2,13,魔獣,オルトロス,0,77,16,13,15,14,9,1,3,0,1,1,1,2,アギラオ,丸かじり,マハラギ,金剛発破,ファイアブレス,リカーム,緊縛耐性,電撃耐性,,,,
78,44,3,13,魔獣,アーマーン,0,77,21,9,15,14,16,1,1,0,3,1,1,1,リベリオン,デスタッチ,狂乱の剛爪,二段の猛速,暴飲暴食,雄叫び,魅了無効,氷結耐性,ジオ,暴れまくり,初段の恵体,マハブフ
79,61,4,13,魔獣,ケルベロス,0,82,21,19,16,19,18,1,5,0,1,1,1,1,アギダイン,狂乱の剛爪,雄叫び,二分の活泉,ファイアブレス,マハデゾレトオン,追い打ち,物理耐性,緊縛追撃,反撃,ヒートウェイブ,初段の猛速
80,2,1,14,妖精,ピクシー,1,63,9,10,12,16,10,1,1,1,2,1,1,0,ザン,ディア,,回復ブースタ,マハジオ,メディア,魔封耐性,破魔耐性,,,,
81,7,1,14,妖精,ジャックフロスト,0,68,7,16,13,9,13,1,0,2,1,1,1,1,ブフ,マハブフ,,ハマ,ブフーラ,バトンタッチ,反撃,電撃耐性,,,,
82,13,1,14,妖精,ジャックランタン,0,68,7,16,13,10,13,1,2,0,1,1,1,1,アギ,マハラギ,,アギラオ,ファイアブレス,バトンタッチ,一分の魔脈,衝撃耐性,,,,
83,24,2,14,妖精,ハイピクシー,1,59,9,19,11,14,15,1,1,1,1,2,1,1,デゾレト,メディア,マハジオ,リディア,放電,ディアラ,乱れ狂い,破魔耐性,,,,
84,35,2,14,妖精,ケルピー,1,73,14,13,14,16,14,1,1,2,1,0,1,1,ディアラ,ジオンガ,暴れまくり,ダークゾーン無効,吸魔,リディア,野生の勘,呪殺耐性,,,,
85,42,3,14,妖精,シルキー,2,96,7,20,19,13,16,1,0,3,1,1,1,1,メウィークディ,虚弱無効,ブフダイン,メディラ,マハブフーラ,リディア,奈落のマスク,衝撃無効,コロシの愉悦,なぎ払い,毒床歩き,野生の勘
86,47,3,14,妖精,セタンタ,0,77,20,14,15,12,14,1,1,1,0,3,1,0,鬼神楽,千発千中,金剛発破,デスバウンド,ザンマ,タルカジャ,狂戦士,電撃耐性,初段の恵体,ジオ,カースディ,ヒートウェイブ
87,62,4,14,妖精,ティターニア,2,54,14,28,10,13,18,1,1,1,1,1,2,2,電撃ブースタ,マハジオンガ,マカジャマオン,二分の魔脈,ショックウェーブ,デゾレトオン,追い打ち,物理耐性,タルンダ,マハムド,絶命剣,放電
88,67,4,14,妖精,オベロン,0,92,22,26,18,10,13,1,1,1,0,4,1,1,衝撃ブースタ,ザンダイン,マハマリンカリオン,マカラカーン,ツイスター,メチャームディ,スクカオート,氷結耐性,スラッシュ,初段の恵体,タルカジャ,吸魔
89,4,1,15,堕天使,メルコム,1,82,9,8,16,12,12,1,2,0,1,0,0,2,ディア,アギ,,ファイアブレス,マハラギ,カースディ,一分の魔脈,物理耐性,,,,
90,10,1,15,堕天使,エリゴール,0,82,16,10,16,6,9,2,1,1,0,1,1,3,ムド,なぎ払い,,食いしばり,絶命剣,ラクカジャ,反撃,破魔耐性,,,,
91,23,2,15,堕天使,デカラビア,0,77,9,17,15,12,14,1,1,1,1,1,0,2,マハラギ,マハブフ,ブフ,マリンカリン,アギラオ,メクロズディ,魔封耐性,氷結耐性,,,,
92,41,3,15,堕天使,フォルネウス,2,96,19,13,19,9,15,1,1,4,0,1,1,3,ブフーラ,マハジオ,フォッグブレス,電撃耐性,マハブフーラ,マハシバブー,氷結ブースタ,破魔無効,初段の猛速,メクロズディ,ジオ,チャームディ
93,54,3,15,堕天使,オセ,0,87,21,10,17,16,16,1,1,1,1,1,1,2,冥界破,マハジオンガ,チャージ,猛反撃,メガトンプレス,テトラカーン,二段の剛力,物理無効,アギ,チャームディ,メディア,乱れ狂い
94,70,4,15,堕天使,ダンタリアン,2,120,10,24,24,16,18,1,2,2,0,3,0,2,マカラカーン,フォッグブレス,ハマダイン,二分の魔脈,暴飲暴食,バインドボイス,マカラカシフト,呪殺反射,バインドボイス,アイスブレス,挑発,二段の強運
95,84,5,15,堕天使,サマエル,2,115,13,27,23,19,22,1,1,1,0,1,5,5,勝利のチャクラ,メシアライザー,エナジードレイン,デスカウンター,煉獄,テトラカーン,無限のチャクラ,火炎無効,ファイアブレス,アギラオ,丸かじり,回復ブースタ
96,3,1,16,妖鬼,アズミ,1,54,10,12,10,13,12,1,1,2,0,1,1,1,パララディ,ブフ,,アイスブレス,マハブフ,ディア,一分の活泉,衝撃耐性,,,,
97,15,1,16,妖鬼,モムノフ,0,73,16,7,14,10,12,2,1,1,1,0,1,1,なぎ払い,反撃,,ヒートウェイブ,鬼神楽,デクンダ,食いしばり,衝撃耐性,,,,
98,27,2,16,妖鬼,オニ,0,73,20,10,14,10,14,1,1,1,0,1,1,1,テトラコワース,マハラギ,金剛発破,鬼神楽,五月雨斬り,チャージ,コロシの愉悦,衝撃耐性,,,,
99,41,3,16,妖鬼,ヨモツイクサ,0,63,17,14,12,18,14,1,1,1,1,0,0,2,毒耐性,アイスブレス,マハムドオン,無慈悲な一撃,刹那五月雨撃ち,ジュオン,ミナゴロシの愉悦,破魔耐性,クロズディ,初段の恵体,メカースディ,メウィークディ
100,49,3,16,妖鬼,シキオウジ,0,73,18,20,14,10,13,3,0,0,1,1,2,2,魔封耐性,ハマ,ムド,デカジャ,メギド,ラクンダ,追い打ち,氷結耐性,メウィークディ,マハラギ,祟り,ディア
101,54,3,16,妖鬼,ベルセルク,0,59,23,13,11,15,18,3,1,1,1,0,1,1,チャージ,暗夜剣,マハブフ,不屈の闘志,メガトンプレス,リベリオン,猛反撃,氷結耐性,ソウルドレイン,初段の賢魔,クロズディ,野生の勘
102,68,4,16,妖鬼,オンギョウキ,0,101,25,11,20,16,19,2,1,2,1,2,0,1,暗夜剣,ラクカオート,マハブフーラ,デスタッチ,虚空爪激,アウトブレイク,デスカウンター,呪殺無効,反撃,魅了追撃,初段の強運,ウィンドブレス
103,12,1,17,鬼女,リャナンシー,1,82,7,14,16,9,12,1,1,1,1,0,1,1,ディア,ブフ,,メディア,ムドオン,リカーム,毒耐性,衝撃耐性,,,,
104,23,2,17,鬼女,ヨモツシコメ,2,63,14,12,12,15,14,1,0,1,1,1,0,3,タルンダ,毒針,ブフーラ,バインドクロ―,デスバウンド,ウィークディ,見切り,衝撃耐性,,,,
105,34,2,17,鬼女,ヤクシニー,0,82,19,12,16,12,9,1,1,1,0,3,1,1,呪い耐性,アギラオ,マハザン,五月雨斬り,ジオンガ,シバブー,初段の剛力,物理耐性,,,,
106,42,3,17,鬼女,マーメイド,1,77,12,21,15,12,15,1,1,2,0,2,1,1,アイスブレス,ウィンドブレス,メディア,セクシーダンス,ブフダイン,メチャームディ,無限のチャクラ,氷結無効,クロズディ,暴れまくり,パララディ,暴れまくり
107,53,3,17,鬼女,ダーキニー,0,87,22,10,17,14,17,2,4,0,1,1,1,1,バリアコワース,アギラオ,怪力乱神,ポイズマオン,アギダイン,マハマカジャマ,毒無効,氷結耐性,毒ガスブレス,ショックウェーブ,初段の賢魔,野生の勘
108,67,4,17,鬼女,ランダ,0,82,16,21,16,18,19,5,1,1,0,1,1,1,マハジュオン,ムドダイン,マハザンダイン,空間殺法,煉獄,リカームドラ,食いしばり,衝撃無効,ウィンドブレス,マハブフーラ,デカジャ,吸魔
109,5,1,18,夜魔,モコイ,0,54,10,10,10,14,12,1,1,1,2,0,1,1,ジオ,突撃,,暴れまくり,ジオンガ,ウィークディ,初段の剛力,呪殺耐性,,,,
110,10,1,18,夜魔,ザントマン,0,73,10,9,14,13,13,1,1,1,0,2,1,1,ザン,スラッシュ,,シバブー,暗夜剣,スクンダ,超自然治癒,氷結耐性,,,,
111,21,2,18,夜魔,インキュバス,2,68,13,12,13,15,14,1,1,1,0,2,1,1,マリンカリン,ムドオン,ザン,吸血,マハザン,メパララディ,魅了追撃,氷結耐性,,,,
112,30,2,18,夜魔,フォーモリア,0,101,18,8,20,8,14,1,0,2,1,1,1,1,マハブフ,金剛発破,ハマオン,追い打ち,ブフーラ,リベリオン,二分の活泉,破魔耐性,,,,
113,42,3,18,夜魔,キウン,0,82,13,18,16,15,13,1,1,0,1,1,0,3,ムドオン,マハムド,呪殺ブースタ,スクカジャ,マハムドオン,マカラコワース,食いしばり,氷結耐性,初段の賢魔,初段の強運,コロシの愉悦,マハンマ
114,47,3,18,夜魔,リリム,2,73,11,21,14,13,16,1,1,0,1,3,1,1,魅了耐性,マハザンマ,マリンカリン,吸魔,ザンダイン,メクロスディ,二段の賢魔,電撃無効,初段の強運,ブフ,ウィークディ,ジオ
