No,devilbase,deviladd,devilafter
95,神獣,魔獣,霊鳥
96,神獣,妖精,天使
97,神獣,堕天使,天使
98,神獣,妖鬼,鬼神
99,神獣,鬼女,女神
100,神獣,夜魔,聖獣
101,神獣,邪神,魔神
102,神獣,妖獣,魔獣
103,神獣,外道,幻魔
104,神獣,魔王,幻魔
105,神獣,幽鬼,天使
106,聖獣,幻魔,妖魔
107,聖獣,破壊神,鬼神
108,聖獣,地母神,神獣
109,聖獣,鬼神,地母神
110,聖獣,天使,大天使
111,聖獣,妖魔,天使
112,聖獣,龍王,鬼神
113,聖獣,魔獣,神獣
114,聖獣,妖精,龍王
115,聖獣,堕天使,大天使
116,聖獣,妖鬼,鬼女
117,聖獣,鬼女,霊鳥
118,聖獣,夜魔,妖精
119,聖獣,邪神,妖魔
120,聖獣,妖獣,妖鬼
121,聖獣,外道,神獣
122,聖獣,魔王,魔獣
123,聖獣,幽鬼,天使
124,幻魔,破壊神,地母神
125,幻魔,地母神,女神
126,幻魔,鬼神,妖魔
127,幻魔,天使,聖獣
128,幻魔,妖魔,龍王
129,幻魔,龍王,神獣
130,幻魔,魔獣,妖精
131,幻魔,妖精,龍王
132,幻魔,堕天使,妖魔
133,幻魔,妖鬼,魔獣
134,幻魔,鬼女,夜魔
135,幻魔,夜魔,聖獣
136,幻魔,邪神,堕天使
137,幻魔,妖獣,妖魔
138,幻魔,外道,龍王
139,幻魔,魔王,妖魔
140,幻魔,幽鬼,鬼女
141,破壊神,地母神,幻魔
142,破壊神,鬼神,地母神
143,破壊神,天使,邪神
144,破壊神,妖魔,聖獣
145,破壊神,龍王,魔王
146,破壊神,魔獣,神獣
147,破壊神,妖精,妖鬼
148,破壊神,堕天使,魔王
149,破壊神,妖鬼,地母神
150,破壊神,鬼女,地母神
151,破壊神,夜魔,外道
152,破壊神,邪神,魔王
153,破壊神,妖獣,幽鬼
154,破壊神,外道,妖魔
155,破壊神,魔王,龍王
156,破壊神,幽鬼,魔獣
157,地母神,鬼神,魔王
158,地母神,天使,破壊神
159,地母神,妖魔,幻魔
160,地母神,龍王,鬼女
161,地母神,魔獣,鬼女
162,地母神,妖精,外道
163,地母神,堕天使,夜魔
164,地母神,妖鬼,破壊神
165,地母神,鬼女,女神
166,地母神,夜魔,鬼神
167,地母神,邪神,幻魔
168,地母神,妖獣,幽鬼
169,地母神,外道,邪神
170,地母神,魔王,幻魔
171,地母神,幽鬼,妖獣
172,鬼神,天使,夜魔
173,鬼神,妖魔,鬼女
174,鬼神,龍王,鬼女
175,鬼神,魔獣,聖獣
176,鬼神,妖精,妖鬼
177,鬼神,堕天使,魔獣
178,鬼神,妖鬼,魔神
179,鬼神,鬼女,地母神
180,鬼神,夜魔,鬼女
181,鬼神,邪神,幻魔
182,鬼神,妖獣,幻魔
183,鬼神,外道,妖精
184,鬼神,魔王,幽鬼
185,鬼神,幽鬼,龍王
186,天使,妖魔,妖精
187,天使,龍王,妖精
188,天使,魔獣,堕天使
189,天使,妖精,聖獣
190,天使,堕天使,女神
191,天使,妖鬼,妖魔
192,天使,鬼女,外道
193,天使,夜魔,龍王
194,天使,邪神,堕天使
195,天使,妖獣,妖精
196,天使,外道,堕天使
197,天使,魔王,邪神
198,天使,幽鬼,妖魔
199,妖魔,龍王,夜魔
200,妖魔,魔獣,堕天使
201,妖魔,妖精,聖獣
202,妖魔,堕天使,幻魔
203,妖魔,妖鬼,鬼女
204,妖魔,鬼女,妖鬼
205,妖魔,夜魔,神獣
206,妖魔,邪神,妖獣
207,妖魔,妖獣,霊鳥
208,妖魔,外道,龍王
209,妖魔,魔王,霊鳥
210,妖魔,幽鬼,妖獣
211,龍王,魔獣,妖鬼
212,龍王,妖精,霊鳥
213,龍王,堕天使,魔獣
214,龍王,妖鬼,魔獣
215,龍王,鬼女,鬼神
216,龍王,夜魔,妖精
217,龍王,邪神,鬼神
218,龍王,妖獣,霊鳥
219,龍王,外道,天使
220,龍王,魔王,鬼神
221,龍王,幽鬼,妖鬼
222,魔獣,妖精,霊鳥
223,魔獣,堕天使,魔神
224,魔獣,妖鬼,堕天使
225,魔獣,鬼女,外道
226,魔獣,夜魔,妖精
227,魔獣,邪神,魔神
228,魔獣,妖獣,邪神
229,魔獣,外道,妖獣
230,魔獣,魔王,邪神
231,魔獣,幽鬼,妖獣
232,妖精,堕天使,天使
233,妖精,妖鬼,夜魔
234,妖精,鬼女,女神
235,妖精,夜魔,天使
236,妖精,邪神,妖鬼
237,妖精,妖獣,外道
238,妖精,外道,幽鬼
239,妖精,魔王,夜魔
240,妖精,幽鬼,聖獣
241,堕天使,妖鬼,龍王
242,堕天使,鬼女,妖獣
243,堕天使,夜魔,魔神
244,堕天使,邪神,妖鬼
245,堕天使,妖獣,夜魔
246,堕天使,外道,幻魔
247,堕天使,魔王,破壊神
248,堕天使,幽鬼,妖鬼
249,妖鬼,鬼女,天使
250,妖鬼,夜魔,霊鳥
251,妖鬼,邪神,幽鬼
252,妖鬼,妖獣,妖精
253,妖鬼,外道,妖獣
254,妖鬼,魔王,幽鬼
255,妖鬼,幽鬼,外道
256,鬼女,夜魔,天使
257,鬼女,邪神,妖鬼
258,鬼女,妖獣,堕天使
259,鬼女,外道,妖獣
260,鬼女,魔王,地母神
261,鬼女,幽鬼,外道
262,夜魔,邪神,霊鳥
263,夜魔,妖獣,魔獣
264,夜魔,外道,妖魔
265,夜魔,魔王,地母神
266,夜魔,幽鬼,鬼女
267,邪神,妖獣,神獣
268,邪神,外道,幽鬼
269,邪神,魔王,幽鬼
270,邪神,幽鬼,外道
271,妖獣,外道,魔獣
272,妖獣,魔王,夜魔
273,妖獣,幽鬼,夜魔
274,外道,魔王,龍王
275,外道,幽鬼,妖鬼
276,魔王,幽鬼,魔獣
